datetime,Global_active_power,day_of_week,month,is_weekend,lag_1,lag_7,rolling_7
2006-12-23,79.55643333333335,5,12,1,39.0223,20.152933333333333,35.1270619047619
2006-12-24,42.5002,6,12,1,79.55643333333335,56.507666666666665,43.6132761904762
2006-12-25,45.718666666666664,0,12,0,42.5002,36.73043333333333,41.61220952380952
2006-12-26,65.5685,1,12,0,45.718666666666664,27.7699,42.89624285714286
2006-12-27,25.479333333333333,2,12,0,65.5685,37.095800000000004,48.296042857142865
2006-12-28,34.54396666666666,3,12,0,25.479333333333333,28.610400000000002,46.636547619047626
2006-12-29,52.90653333333333,4,12,0,34.54396666666666,39.0223,47.484199999999994
2006-12-30,46.48836666666667,5,12,1,52.90653333333333,79.55643333333335,49.467661904761904
2006-12-31,58.236599999999996,6,12,1,46.48836666666667,42.5002,44.743652380952376
2007-01-01,45.81673333333333,0,1,0,58.236599999999996,45.718666666666664,46.99170952380952
2007-01-02,21.153933333333335,1,1,0,45.81673333333333,65.5685,47.005719047619046
2007-01-03,16.9009,2,1,0,21.153933333333335,25.479333333333333,40.660780952380954
2007-01-04,54.32353333333333,3,1,0,16.9009,34.54396666666666,39.43529047619047
2007-01-05,45.22273333333333,4,1,0,54.32353333333333,52.90653333333333,42.26094285714286
2007-01-06,25.139633333333332,5,1,1,45.22273333333333,46.48836666666667,41.16325714285714
2007-01-07,40.79366666666667,6,1,1,25.139633333333332,58.236599999999996,38.113438095238095
2007-01-08,37.356,0,1,0,40.79366666666667,45.81673333333333,35.62159047619048
2007-01-09,31.1509,1,1,0,37.356,21.153933333333335,34.41291428571429
2007-01-10,35.913333333333334,2,1,0,31.1509,16.9009,35.84105238095238
2007-01-11,37.58656666666666,3,1,0,35.913333333333334,54.32353333333333,38.557114285714285
2007-01-12,24.354933333333335,4,1,0,37.58656666666666,45.22273333333333,36.16611904761904
2007-01-13,53.113566666666664,5,1,1,24.354933333333335,25.139633333333332,33.18500476190476
2007-01-14,50.130266666666664,6,1,1,53.113566666666664,40.79366666666667,37.18128095238096
2007-01-15,35.811299999999996,0,1,0,50.130266666666664,37.356,38.51508095238095
2007-01-16,28.106733333333334,1,1,0,35.811299999999996,31.1509,38.29440952380952
2007-01-17,47.46146666666667,2,1,0,28.106733333333334,35.913333333333334,37.85952857142858
2007-01-18,30.3577,3,1,0,47.46146666666667,37.58656666666666,39.5092619047619
2007-01-19,24.674,4,1,0,30.3577,24.354933333333335,38.47656666666666
2007-01-20,52.22886666666667,5,1,1,24.674,53.113566666666664,38.52214761904762
2007-01-21,56.7877,6,1,1,52.22886666666667,50.130266666666664,38.395761904761905
2007-01-22,36.34156666666667,0,1,0,56.7877,35.811299999999996,39.34682380952381
2007-01-23,29.627333333333336,1,1,0,36.34156666666667,28.106733333333334,39.42257619047619
2007-01-24,49.79756666666666,2,1,0,29.627333333333336,47.46146666666667,39.63980476190476
2007-01-25,26.605733333333333,3,1,0,49.79756666666666,30.3577,39.97353333333334
2007-01-26,26.9662,4,1,0,26.605733333333333,24.674,39.4375380952381
2007-01-27,34.06786666666667,5,1,1,26.9662,52.22886666666667,39.76499523809524
2007-01-28,51.503400000000006,6,1,1,34.06786666666667,56.7877,37.170566666666666
2007-01-29,33.0444,0,1,0,51.503400000000006,36.34156666666667,36.41566666666667
2007-01-30,28.4633,1,1,0,33.0444,29.627333333333336,35.94464285714286
2007-01-31,39.39586666666666,2,1,0,28.4633,49.79756666666666,35.77835238095238
2007-02-01,30.412666666666667,3,2,0,39.39586666666666,26.605733333333333,34.29239523809524
2007-02-02,27.7956,4,2,0,30.412666666666667,26.9662,34.83624285714286
2007-02-03,67.16203333333334,5,2,1,27.7956,34.06786666666667,34.95472857142857
2007-02-04,59.93233333333333,6,2,1,67.16203333333334,51.503400000000006,39.68246666666666
2007-02-05,27.421333333333333,0,2,0,59.93233333333333,33.0444,40.886599999999994
2007-02-06,21.224666666666668,1,2,0,27.421333333333333,28.4633,40.083304761904756
2007-02-07,38.8003,2,2,0,21.224666666666668,39.39586666666666,39.049214285714285
2007-02-08,30.023566666666667,3,2,0,38.8003,30.412666666666667,38.96413333333333
2007-02-09,27.003300000000003,4,2,0,30.023566666666667,27.7956,38.90854761904762
2007-02-10,47.15546666666667,5,2,1,27.003300000000003,67.16203333333334,38.79536190476191
2007-02-11,59.52046666666667,6,2,1,47.15546666666667,59.93233333333333,35.93728095238095
2007-02-12,31.293499999999998,0,2,0,59.52046666666667,27.421333333333333,35.87844285714286
2007-02-13,23.575766666666667,1,2,0,31.293499999999998,21.224666666666668,36.43160952380952
2007-02-14,41.644533333333335,2,2,0,23.575766666666667,38.8003,36.76748095238095
2007-02-15,33.0891,3,2,0,41.644533333333335,30.023566666666667,37.17379999999999
2007-02-16,28.375466666666668,4,2,0,33.0891,27.003300000000003,37.61173333333334
2007-02-17,34.615199999999994,5,2,1,28.375466666666668,47.15546666666667,37.80775714285714
2007-02-18,63.82936666666667,6,2,1,34.615199999999994,59.52046666666667,36.01629047619048
2007-02-19,36.44356666666667,0,2,0,63.82936666666667,31.293499999999998,36.63184761904762
2007-02-20,52.498799999999996,1,2,0,36.44356666666667,23.575766666666667,37.36757142857143
2007-02-21,34.5479,2,2,0,52.498799999999996,41.644533333333335,41.499433333333336
2007-02-22,56.15796666666667,3,2,0,34.5479,33.0891,40.48562857142857
2007-02-23,21.891333333333332,4,2,0,56.15796666666667,28.375466666666668,43.78118095238095
2007-02-24,11.915366666666667,5,2,1,21.891333333333332,34.615199999999994,42.85487619047619
2007-02-25,8.362333333333334,6,2,1,11.915366666666667,63.82936666666667,39.61204285714286
2007-02-26,9.474733333333335,0,2,0,8.362333333333334,36.44356666666667,31.688180952380954
2007-02-27,8.6352,1,2,0,9.474733333333335,52.498799999999996,27.835490476190476
2007-02-28,8.679566666666666,2,2,0,8.6352,34.5479,21.569261904761902
2007-03-01,8.626066666666667,3,3,0,8.679566666666666,56.15796666666667,17.873785714285713
2007-03-02,8.5948,4,3,0,8.626066666666667,21.891333333333332,11.083514285714285
2007-03-03,13.652033333333332,5,3,1,8.5948,11.915366666666667,9.184009523809523
2007-03-04,34.845,6,3,1,13.652033333333332,8.362333333333334,9.432104761904762
2007-03-05,44.33886666666667,0,3,0,34.845,9.474733333333335,13.215342857142856
2007-03-06,20.775,1,3,0,44.33886666666667,8.6352,18.195933333333333
2007-03-07,39.58676666666667,2,3,0,20.775,8.679566666666666,19.93019047619048
2007-03-08,26.2022,3,3,0,39.58676666666667,8.626066666666667,24.345504761904767
2007-03-09,21.2102,4,3,0,26.2022,8.5948,26.856380952380952
2007-03-10,41.41186666666667,5,3,1,21.2102,13.652033333333332,28.658580952380955
